"Cidade","UF","Pais","Email","Tel","DTNASC","CPF","GUID","Latitude","Longitude","TIPOSANGUINEO","ID","Nome","Sexo"
"Tupã","SP","BR","RebecaFernandesFerreira@einrot.com","(14) 7098-8935","4/19/1996","718.057.332-90","179b466d-a187-4920-9f63-163edd1b4fd7","-21.901622","-50.613094","O+","390","Rebeca F Ferreira","1"
"Criciúma","SC","BR","EnzoCardosoPinto@einrot.com","(48) 4046-2887","11/3/2000","445.409.578-72","f05de9bb-3fc0-4c3c-970d-531d51b2b9cd","-28.630426","-49.410424","B+","391","Enzo C Pinto","2"
"Cariacica","ES","BR","AnaRibeiroCardoso@cuvox.de","(27) 8788-9762","12/25/1956","998.671.330-72","220b66b5-72d5-4799-a688-79b4966de92a","-20.237807","-40.53284","O-","392","Ana R Cardoso","1"
"Santo Ângelo","RS","BR","KauanLimaFernandes@fleckens.hu","(55) 6286-6744","5/10/1947","169.251.401-69","992daf20-e922-4957-ba1e-c04b3b0f3ef8","-28.216296","-54.28399","AB+","393","Kauan L Fernandes","2"
"Cotia","SP","BR","EduardaSilvaFernandes@teleworm.us","(11) 2597-3219","6/16/2000","482.032.570-11","e0a51327-fde3-4a00-b0c8-67900707cebd","-23.598526","-46.954405","O+","394","Eduarda S Fernandes","1"
"Belém","PA","BR","KaiMartinsBarbosa@fleckens.hu","(91) 7320-6513","6/18/1947","920.904.073-28","02d62a48-399b-40e6-9a36-00563a2d75a7","-1.254656","-48.468998","B+","395","Kai M Barbosa","2"
"São Roque","SP","BR","LaraFernandesCunha@teleworm.us","(11) 8681-7601","9/4/2000","530.393.508-62","374ad6ec-8346-4188-bbd9-6864f1bc2df8","-23.472361","-47.178654","A+","396","Lara F Cunha","1"
"Leme","SP","BR","SophiaGoncalvesAraujo@dayrep.com","(19) 8725-4547","11/7/1943","551.273.958-19","90ae4b96-1f19-418a-badd-35105025deae","-22.255792","-47.35225","B+","397","Sophia G Araujo","1"
"Volta Redonda","RJ","BR","CaioFerreiraBarros@einrot.com","(24) 2692-9626","9/10/1968","348.696.340-66","746e7e48-0a3a-4f8b-bb81-95e08d001628","-22.501802","-44.048586","A+","398","Caio F Barros","2"
"Pelotas","RS","BR","SarahRochaGomes@teleworm.us","(53) 4406-4971","3/25/1963","323.340.664-94","bb9bcabd-4ad9-4907-8134-39b52e09177c","-31.512752","-52.361792","A+","399","Sarah R Gomes","1"
"Valparaíso de Goiás","GO","BR","NicolashRodriguesBarbosa@fleckens.hu","(61) 2544-3453","5/26/1969","195.408.953-83","a0e2292c-e966-46e7-8ce1-a9faf3e5517d","-16.091329","-48.067335","O+","400","Nicolash R Barbosa","2"
"Campo Grande","MS","BR","BiancaSousaCosta@gustr.com","(67) 7647-3736","10/22/1956","741.004.714-32","3eed02d4-4c01-40c7-a6b8-ce89ac9eea8d","-20.931993","-54.304219","O+","401","Bianca S Costa","1"
"Rio de Janeiro","RJ","BR","ClaraFerreiraBarros@dayrep.com","(21) 8657-9245","1/11/1999","315.103.519-14","a64a9fad-de2b-4506-9c96-86e07efdcaf8","-22.991409","-43.241043","O+","402","Clara F Barros","1"
"Vila Velha","ES","BR","MarianaCorreiaSouza@teleworm.us","(27) 2413-4587","11/17/1974","915.950.393-92","16dd041e-0f9b-48a0-b205-e24bf1e841a8","-20.322098","-40.242099","O+","403","Mariana C Souza","1"
"Guarulhos","SP","BR","CarolinaCunhaSousa@rhyta.com","(11) 4572-8922","10/28/1951","469.344.342-50","4f4c722a-ace2-4f13-b69b-df49da59e610","-23.312299","-46.509736","AB+","404","Carolina C Sousa","1"
"Belém","PA","BR","GabrielleGomesRocha@dayrep.com","(91) 8624-4839","9/6/1992","837.447.378-96","4a5648cb-db05-4483-b521-f7e7b8b3c3b6","-1.247452","-48.393476","AB+","405","Gabrielle G Rocha","1"
"Campinas","SP","BR","BrendaSantosCardoso@jourrapide.com","(19) 8887-3775","7/3/1957","783.894.020-68","59645d26-df7a-4dc4-9571-e3c0f5aba7fa","-22.837137","-47.140867","O-","406","Brenda S Cardoso","1"
"Teresina","PI","BR","KauaMartinsAlmeida@teleworm.us","(86) 5725-8965","3/16/1975","510.579.209-24","7a85cb93-04b9-415c-aa0d-f04e755ae9e1","-5.388228","-42.831149","A+","407","Kauã M Almeida","2"
"Avaré","SP","BR","LuizaSousaPinto@armyspy.com","(14) 9849-5077","10/11/1986","750.819.710-06","e3f7b2c9-a417-40c9-9885-28fe9babf139","-23.084233","-48.918751","O+","408","Luiza S Pinto","1"
"Novo Hamburgo","RS","BR","MartimSilvaGomes@jourrapide.com","(51) 5782-2614","10/3/1980","220.632.074-61","e05b3acd-47b7-4eac-8681-6543fbdfaeca","-29.684624","-51.156173","B+","409","Martim S Gomes","2"
"Aparecida de Goiânia","GO","BR","MartimFernandesCastro@teleworm.us","(62) 9588-4866","11/14/1982","573.263.658-73","4f57e1a7-5c4a-4ad6-bd2a-dd7849d00ae0","-16.77549","-49.206268","O+","410","Martim F Castro","2"
"Nova Iguaçu","RJ","BR","VictorRibeiroGomes@rhyta.com","(21) 8005-9701","8/27/1942","473.773.263-01","859cfdac-22f3-4e87-916c-9f10b0c5ec5f","-22.644113","-43.436667","O+","411","Victor R Gomes","2"
"Jataí","GO","BR","LuanaPereiraCosta@einrot.com","(64) 5464-5513","1/13/1970","878.128.352-00","a7553a8e-070c-4719-aff8-12e9bc894afa","-17.76606","-51.742824","A+","412","Luana P Costa","1"
"Vitória de Santo Antão","PE","BR","YasminCunhaDias@cuvox.de","(81) 3058-5070","10/19/1955","533.255.638-13","26015f7a-78f0-45f4-b3d3-23d7e2ccd848","-8.084519","-35.195631","O+","413","Yasmin C Dias","1"
"Aracaju","SE","BR","LaviniaGomesCunha@dayrep.com","(79) 3462-5518","9/8/1968","724.338.895-70","e708c534-05cc-489a-b089-47133fc4d6db","-10.984303","-37.111828","B+","414","Lavinia G Cunha","1"
"São Paulo","SP","BR","FabioCostaRocha@superrito.com","(11) 4011-7408","6/6/1953","866.513.119-13","ad4a29f7-2a96-491f-9f53-9debf0643846","-23.690148","-46.603997","B+","415","Fábio C Rocha","2"
"Samambaia","DF","BR","CarlaCarvalhoBarbosa@superrito.com","(61) 3844-4356","8/23/1960","684.119.134-06","0bd1dd4c-7041-4e9d-bef4-ad60719df8c6","-23.18058","-47.42177","B+","416","Carla C Barbosa","1"
"Sumaré","SP","BR","ManuelaAzevedoDias@fleckens.hu","(19) 7927-7849","11/23/1959","854.909.686-56","90b6f15c-23f2-4195-9e91-f165a08201f4","-22.891672","-47.249699","O+","417","Manuela A Dias","1"
"Uberaba","MG","BR","JoaoCardosoCavalcanti@rhyta.com","(34) 6421-7980","7/22/1968","487.979.308-65","1628c5c6-881e-482d-8d5f-b0446f569d81","-19.484842","-47.856459","O+","418","Joao C Cavalcanti","2"
"Salvador","BA","BR","AndreRodriguesAzevedo@cuvox.de","(71) 7630-4616","2/22/1936","222.414.342-72","a3f6bb7d-6058-47fe-9054-04284573ec70","-12.944656","-38.459822","O+","419","André R Azevedo","2"
"Fortaleza","CE","BR","LeilaCastroMelo@fleckens.hu","(85) 5067-4263","3/21/1956","449.771.011-46","edb38a3e-330d-4a74-b3c9-a78abe43cca5","-3.649747","-38.581623","O+","420","Leila C Melo","1"
"São Paulo","SP","BR","ThaisGoncalvesSousa@cuvox.de","(11) 6272-4766","9/2/1963","313.297.797-70","e84fd46e-bd75-4605-bde4-3a11791fe353","-23.54771","-46.629918","O+","421","Thaís G Sousa","1"
"Belo Horizonte","MG","BR","TiagoRibeiroSousa@superrito.com","(31) 9662-2408","5/12/1950","522.759.884-32","9d052d2a-d784-424c-8d22-dbeec66f714e","-19.800103","-43.877381","O+","422","Tiago R Sousa","2"
"Sobral","CE","BR","LuanaAraujoBarbosa@teleworm.us","(88) 9945-7519","4/19/1975","701.987.103-80","916babe8-5731-4fba-a555-94fe392757bd","-3.837364","-40.211821","O+","423","Luana A Barbosa","1"
"Santana de Parnaíba","SP","BR","EnzoCorreiaCardoso@fleckens.hu","(11) 7227-7828","12/20/1954","225.033.015-84","1670405b-de7a-454b-910f-8f0909a71c49","-23.35371","-46.953212","A+","424","Enzo C Cardoso","2"
"Luziânia","GO","BR","GiovanaGoncalvesCastro@dayrep.com","(61) 5629-7130","2/16/1948","786.959.796-10","42ada432-8f34-4564-8849-ef4403ef8b61","-16.42958","-47.903633","A+","425","Giovana G Castro","1"
"Indaiatuba","SP","BR","LauraGoncalvesCorreia@teleworm.us","(19) 5961-3472","11/29/1934","973.136.135-98","0e036dc3-4999-437a-a3cf-5e30dc9d8722","-23.044225","-47.176639","A+","426","Laura G Correia","1"
"Cariacica","ES","BR","EmillyPereiraLima@teleworm.us","(27) 3622-4047","7/22/1968","413.414.481-77","23056665-5a9e-4789-813e-544988896822","-20.248443","-40.551583","A+","427","Emilly P Lima","1"
"Cariacica","ES","BR","BeatriceBarrosAlmeida@teleworm.us","(27) 6018-2966","11/4/1997","256.663.964-71","9b4b4291-5d70-4300-969f-c543c59d18ec","-20.354449","-40.422729","A-","428","Beatrice B Almeida","1"
"Florianópolis","SC","BR","VitorCarvalhoFernandes@rhyta.com","(48) 9136-6773","8/24/1984","986.973.090-69","d226337d-e1bd-4c1d-b751-21e8e37fd489","-27.529168","-48.500085","O+","429","Vitór C Fernandes","2"
"Belo Horizonte","MG","BR","CarlaBarbosaAraujo@fleckens.hu","(31) 7513-7056","1/10/1991","931.741.349-86","4940a098-f819-4055-8eea-a5e9ad90f3dd","-19.847198","-43.898599","A+","430","Carla B Araujo","1"
"Belo Horizonte","MG","BR","LiviaAzevedoCunha@superrito.com","(31) 8551-3940","12/16/1991","174.586.957-30","583ef7fb-c689-48b1-be8d-e08615dc8c10","-19.989633","-44.032235","O+","431","Livia A Cunha","1"
"Carapicuíba","SP","BR","PauloFernandesPereira@gustr.com","(11) 8896-9322","9/26/1949","292.617.937-54","3317b284-eac6-4a72-b577-d487b77ac950","-23.554444","-46.819643","B+","432","Paulo F Pereira","2"
"Itapetininga","SP","BR","VitorFernandesAzevedo@superrito.com","(15) 9649-7755","2/6/1963","121.868.219-15","62cc4de4-c96f-464f-bd88-eafe3b34694f","-23.709959","-48.167795","O+","433","Vitor F Azevedo","2"
"Blumenau","SC","BR","JoaoBarbosaCunha@superrito.com","(47) 9558-8694","9/6/1967","883.358.419-42","39d913b8-69cc-4ef8-b3b4-adc7566ac0eb","-26.78475","-49.067781","O-","434","Joao B Cunha","2"
"Teresópolis","RJ","BR","BrunoSilvaCunha@fleckens.hu","(21) 6113-3369","2/14/1975","879.058.272-16","b08b5d4e-6855-4b45-bbd3-18e0f7f6923c","-22.371163","-42.780684","B+","435","Bruno S Cunha","2"
"Tupã","SP","BR","GustavoOliveiraAlmeida@teleworm.us","(14) 2455-9088","12/1/1991","530.131.895-09","f25a9b13-eff3-4784-aa4f-c26ff407a14d","-21.99451","-50.518174","B+","436","Gustavo O Almeida","2"
"Fortaleza","CE","BR","JulietaSouzaSousa@gustr.com","(85) 2196-6411","2/28/1996","150.893.701-09","22381cff-a997-42b7-9c9e-1f7bc02336bd","-3.806958","-38.59519","O-","437","Julieta S Sousa","1"
"Apucarana","PR","BR","ThaisCardosoAzevedo@fleckens.hu","(43) 3624-6440","3/26/1986","659.241.108-26","d9daeed3-0868-4d87-8a50-c9e7f78dbe67","-23.626516","-51.451804","A+","438","Thaís C Azevedo","1"
"Birigüi","SP","BR","AgathaOliveiraCunha@armyspy.com","(18) 8190-6228","4/13/1995","265.404.396-79","eacc31ee-a274-47b1-9911-2c38260588cb","-21.34905","-50.293786","A+","439","Ágatha O Cunha","1"
"Barbacena","MG","BR","EduardaAzevedoSilva@gustr.com","(32) 9061-3371","3/28/1983","580.225.728-88","f70c5512-00d0-40d6-b226-e33c74fefbe7","-21.298853","-43.855801","B+","440","Eduarda A Silva","1"
"Porto Alegre","RS","BR","SamuelSantosAlves@einrot.com","(51) 3696-8958","12/10/1969","747.794.927-00","4101557e-d867-4592-8236-2e3a2d0ff5cb","-30.026402","-51.167986","O+","441","Samuel S Alves","2"
"São Bernardo do Campo","SP","BR","FernandaOliveiraCavalcanti@einrot.com","(11) 5439-4087","2/28/1973","475.888.821-31","a9696c57-a62a-4b62-9e6a-512eec7d5990","-23.724293","-46.525889","O-","442","Fernanda O Cavalcanti","1"
"Itabuna","BA","BR","VitorRibeiroGomes@rhyta.com","(73) 5506-3801","12/4/1936","478.942.900-84","82c846a7-860a-44e1-ae8b-c80e192aa00c","-14.958968","-39.289799","O-","443","Vitor R Gomes","2"
"Cotia","SP","BR","LuanDiasCorreia@dayrep.com","(11) 9558-8510","7/6/1951","643.716.262-70","e9b0d8f2-da1d-4335-9372-c7322253848b","-23.765208","-46.857395","O+","444","Luan D Correia","2"
"Salvador","BA","BR","ViniciusDiasGomes@teleworm.us","(71) 6813-2376","9/29/1974","104.366.222-70","e3c87b81-573d-4cf3-b4c9-36657c36149d","-12.932558","-38.530699","O-","445","Vinícius D Gomes","2"
"Goiânia","GO","BR","ManuelaAzevedoSousa@gustr.com","(62) 7670-5092","5/4/1984","469.454.130-71","9c06f1a7-226c-4884-ab13-4295cd15fbb1","-16.556718","-49.205002","O+","446","Manuela A Sousa","1"
"Barueri","SP","BR","KauaBarrosMelo@fleckens.hu","(11) 7908-3583","6/8/1991","568.899.601-30","3900ce51-6f36-4b8a-86ca-5eeaea703357","-23.55591","-46.79692","B-","447","Kaua B Melo","2"
"São Paulo","SP","BR","LeonorGomesMelo@teleworm.us","(11) 6781-6657","8/16/1935","697.558.500-82","c4f8062a-43dd-4a5e-9c2b-87ceb2c44381","-23.664962","-46.610017","O+","448","Leonor G Melo","1"
"Teresópolis","RJ","BR","LeticiaSilvaSouza@teleworm.us","(21) 9900-2197","6/27/1942","593.684.064-64","69c41cb3-3635-4939-98f2-dae74ceabfd4","-22.288077","-42.817908","A+","449","Letícia S Souza","1"
"Coronel Fabriciano","MG","BR","IsabelaMeloRodrigues@fleckens.hu","(31) 3150-3345","2/25/1995","449.932.514-59","40ca392d-23a2-47a7-aee9-6c930c13a0e1","-19.431179","-42.590524","O+","450","Isabela M Rodrigues","1"
"São Paulo","SP","BR","RodrigoCarvalhoCardoso@einrot.com","(11) 5530-5837","11/18/1968","806.055.684-30","256d8be6-aeb5-413e-899b-9e4bc1d5b47a","-23.577031","-46.582309","AB+","451","Rodrigo C Cardoso","2"
"Anápolis","GO","BR","LuizaSouzaBarbosa@jourrapide.com","(62) 6851-9079","3/23/1954","882.980.696-09","cfa2e909-0a32-438a-b3c7-02e0fded79a1","-16.251844","-49.076035","A+","452","Luiza S Barbosa","1"
"Salvador","BA","BR","ViniciusCostaRocha@dayrep.com","(71) 9667-4866","6/13/1979","779.910.459-78","7dd8c509-1989-4695-9a78-cf1a0321b3c8","-12.930397","-38.426369","A+","453","Vinicius C Rocha","2"
"Fortaleza","CE","BR","BeatriceRochaCarvalho@teleworm.us","(85) 5707-9322","8/8/1991","938.142.122-66","980298bd-5c75-4e3b-955a-d724b174c7e0","-3.819082","-38.469548","O+","454","Beatrice R Carvalho","1"
"Sarandi","PR","BR","AlineSousaFernandes@einrot.com","(44) 7559-3944","10/2/1981","330.236.731-79","5c5db57a-f5cb-422d-8c42-52a4eee48c74","-23.506888","-51.902608","O+","455","Aline S Fernandes","1"
"Patos de Minas","MG","BR","LucasLimaMelo@superrito.com","(34) 2326-6101","3/8/1969","333.419.366-70","d2fd24c5-e464-467e-9523-9f30dc75ad65","-18.537568","-46.485259","O+","456","Lucas L Melo","2"
"Guarujá","SP","BR","LuisPintoCorreia@armyspy.com","(13) 8408-6335","2/4/1957","573.770.013-56","c418853e-8b60-4aed-9b0b-4d0deaf51f25","-24.014423","-46.255261","O+","457","Luis P Correia","2"
"Rio de Janeiro","RJ","BR","LuisAzevedoAlmeida@fleckens.hu","(21) 8530-7489","7/14/1968","907.651.187-00","e4e04410-ae40-462a-a4fb-2592dc0afc87","-22.854833","-43.263592","B+","458","Luis A Almeida","2"
"Porto Alegre","RS","BR","DaniloBarbosaOliveira@teleworm.us","(51) 2631-5730","5/15/1953","778.999.536-77","6f707b11-b4f2-4c99-a849-0d39fbdbe596","-30.104879","-51.161235","O+","459","Danilo B Oliveira","2"
"Petrópolis","RJ","BR","RafaelaSilvaRibeiro@teleworm.us","(24) 4563-2928","9/23/1940","118.713.566-60","be4e10e0-0fe8-48e9-8276-6e3769727c75","-22.41731","-43.107526","A+","460","Rafaela S Ribeiro","1"
"Rio de Janeiro","RJ","BR","IsabelaDiasCorreia@dayrep.com","(21) 2421-6022","1/15/1979","426.899.338-02","13eacef6-6e52-4aa1-807a-53f8b188c172","-22.920585","-43.255949","AB+","461","Isabela D Correia","1"
"Nova Iguaçu","RJ","BR","BrendaPintoOliveira@superrito.com","(21) 7912-3668","11/1/1947","516.963.238-00","e1163816-b49d-4ac7-b7cf-7d9e912c9f9a","-22.629575","-43.414328","A+","462","Brenda P Oliveira","1"
"Uberaba","MG","BR","MuriloCavalcantiGomes@rhyta.com","(34) 7961-4106","12/7/1948","466.682.247-09","c8331f5d-d7b2-492e-873b-67dbfa614136","-19.449771","-47.905305","B+","463","Murilo C Gomes","2"
"Teresina","PI","BR","GuilhermeMartinsSantos@rhyta.com","(86) 5168-7288","3/30/1987","656.228.252-70","bd599e64-89f1-4e2c-a9b0-108d5d6cfe6d","-5.259068","-42.893036","A+","464","Guilherme M Santos","2"
"Santarém","PA","BR","EvelynGomesRodrigues@gustr.com","(93) 5381-6538","2/19/1963","412.143.714-42","b79f37fc-b0b5-4654-99e4-17e31e583de3","-3.014505","-54.822863","A-","465","Evelyn G Rodrigues","1"
"Santa Bárbara D'Oeste","SP","BR","RafaelaMeloSantos@einrot.com","(19) 4950-8159","3/27/1968","690.693.579-84","4fdb5624-ce0e-4e09-9ff7-e377bb307040","-22.868969","-47.400329","A+","466","Rafaela M Santos","1"
"Jaboatão dos Guararapes","PE","BR","LauraAzevedoAlmeida@fleckens.hu","(81) 9519-5223","9/18/1998","167.831.982-19","8683a24a-3f8c-4a30-8bea-3e707b646ee6","-8.232245","-35.034104","A+","467","Laura A Almeida","1"
"Vitória","ES","BR","CauaAlmeidaAzevedo@armyspy.com","(27) 3681-9480","2/28/1977","505.758.331-06","129081ef-e023-436a-a243-9e2b7df792d5","-20.322173","-40.233827","B+","468","Cauã A Azevedo","2"
"Praia Grande","SP","BR","RodrigoPintoDias@gustr.com","(13) 9755-3928","10/23/1968","214.960.590-26","90e0e2dc-8340-4fe9-afdf-026a6bd86726","-24.094981","-46.51249","AB+","469","Rodrigo P Dias","2"
"Patos de Minas","MG","BR","VitorAzevedoAlves@teleworm.us","(34) 8749-5886","6/16/1966","414.779.598-66","f1a59f50-e8a6-4995-8566-2b6094594fab","-18.612788","-46.444087","O+","470","Vitor A Alves","2"
"Mauá","SP","BR","LaviniaAraujoAlmeida@fleckens.hu","(11) 6843-7705","9/25/1993","528.911.501-39","0c2821e5-7d8d-452c-aa2f-d536d291c8dd","-23.607279","-46.466048","O+","471","Lavinia A Almeida","1"
"Olinda","PE","BR","AnaLimaPereira@dayrep.com","(81) 6335-9194","2/14/1966","353.433.719-06","505e8368-2ba2-4516-85e7-0b0a2cfaac0f","-8.00927","-34.968534","A-","472","Ana L Pereira","1"
"Santa Rita","PB","BR","VitorGomesBarros@gustr.com","(83) 5720-2523","5/22/1967","940.996.132-75","82c9cae9-5bc0-4e42-ad4b-ed9527630d41","-7.052737","-35.057851","A+","473","Vitór G Barros","2"
"Porto Alegre","RS","BR","FernandaGoncalvesFerreira@fleckens.hu","(51) 8703-9177","10/19/1948","123.454.133-52","8e6a6e9f-8755-477a-bb5d-ad638ed8f173","-30.067659","-51.243843","A+","474","Fernanda G Ferreira","1"
"Bayeux","PB","BR","SofiaRochaAraujo@jourrapide.com","(83) 8001-2284","1/9/1985","769.983.500-07","1babe452-9e1c-4f1f-ba57-b861c26d36a9","-7.148233","-34.925477","A+","475","Sofia R Araujo","1"
"Cuiabá","MT","BR","NicoleBarbosaAraujo@fleckens.hu","(65) 9044-5656","2/28/1974","757.002.001-47","1f9351dd-cde1-4970-acef-ff1e9df9af3a","-15.358891","-55.873903","A-","476","Nicole B Araujo","1"
"Camaragibe","PE","BR","IsabelaPereiraCardoso@cuvox.de","(81) 5243-7589","11/25/1954","530.856.793-08","fc1eaf28-c736-4504-b30e-109d86480694","-7.901924","-34.895521","O+","477","Isabela P Cardoso","1"
"Lages","SC","BR","EduardoCorreiaAzevedo@einrot.com","(49) 5752-3193","11/18/1963","557.065.716-94","ff3960d5-a345-49dd-8b62-7172bca0b842","-28.043842","-50.420331","O+","478","Eduardo C Azevedo","2"
"Caraguatatuba","SP","BR","BrunoCunhaBarbosa@dayrep.com","(12) 3269-2402","4/15/1957","559.139.713-10","ec609eb1-7050-4056-8264-23ab32b704e7","-23.719523","-45.566028","O+","479","Bruno C Barbosa","2"
"Campo Grande","MS","BR","MariaSouzaBarbosa@armyspy.com","(67) 2723-9687","2/21/1960","345.605.248-07","2a7359fc-1f12-4bec-bc67-4faa80ac5ff9","-21.049415","-54.309391","B+","480","Maria S Barbosa","1"
"São Paulo","SP","BR","LiviaCunhaRibeiro@jourrapide.com","(11) 6839-7491","3/13/1990","949.520.229-94","740e9d2d-fa27-4963-866b-c63c6c771b59","-23.61882","-46.725525","O+","481","Livia C Ribeiro","1"
"Ananindeua","PA","BR","TomasRochaAraujo@armyspy.com","(91) 6596-8585","6/6/1957","515.091.767-21","beaf6b5d-80d1-471f-8072-35419ab47fe4","-1.360269","-48.350617","O+","482","Tomás R Araujo","2"
"Guarapuava","PR","BR","ThaisFerreiraSouza@teleworm.us","(42) 2561-6096","1/14/1954","838.788.487-14","f50c7c7b-35a0-4e25-84d7-9a7aec31cb20","-25.438827","-51.529933","B+","483","Thaís F Souza","1"
"Santos","SP","BR","CarlaGoncalvesLima@jourrapide.com","(11) 7913-4090","7/11/1986","312.460.524-15","7c263d83-ba56-4e73-8b89-677ed30a655f","-23.789978","-46.222413","O-","484","Carla G Lima","1"
"São José","SC","BR","AmandaAraujoRocha@einrot.com","(48) 8875-7771","10/6/1970","173.554.871-59","24da92bd-fb48-4bc0-868e-851c2f2a8fe0","-27.517238","-48.634333","O+","485","Amanda A Rocha","1"
"Ituiutaba","MG","BR","RebecaCostaOliveira@einrot.com","(34) 8239-5985","8/7/1940","366.665.528-90","67a3b52b-4308-435e-b593-57a10f39fe54","-19.029308","-49.544995","B+","486","Rebeca C Oliveira","1"
"Itapecerica da Serra","SP","BR","LaraRibeiroCavalcanti@teleworm.us","(11) 7212-6555","4/29/1939","398.993.649-24","39e46eee-7191-4a82-9e9b-3f6af3117dfa","-23.84076","-46.908738","O+","487","Lara R Cavalcanti","1"
"Itajaí","SC","BR","JoaoSouzaLima@teleworm.us","(47) 8749-6808","8/1/1966","372.367.216-70","8dd6f302-d977-4a83-89f2-9019b26590c3","-26.980338","-48.742384","O+","488","Joao S Lima","2"
"Uberlândia","MG","BR","DiogoSilvaCastro@einrot.com","(34) 7103-4072","4/25/1959","791.438.456-90","523506ab-93f9-4aba-984e-dfb5ca15cf69","-19.022657","-48.371415","A+","489","Diogo S Castro","2"
"Curitiba","PR","BR","BeatrizRibeiroAlmeida@dayrep.com","(41) 4000-8196","12/8/1975","752.046.578-00","74313b4f-d827-4eb3-b3f9-41a48735c66b","-25.59044","-49.373202","O+","490","Beatriz R Almeida","1"
"Rio Branco","AC","BR","BrendaBarbosaAlmeida@fleckens.hu","(68) 4642-4025","9/10/1999","588.728.942-20","e95d70d4-ffaf-48d5-986b-ede56163b798","-10.018902","-68.125686","B+","491","Brenda B Almeida","1"
"São Paulo","SP","BR","RebecaFernandesBarros@rhyta.com","(11) 3003-2177","1/25/1948","210.844.470-02","80eda6c1-34fe-4d5f-997f-21c959bf3c79","-23.568742","-46.543265","O+","492","Rebeca F Barros","1"
"Ananindeua","PA","BR","AgathaOliveiraFernandes@gustr.com","(91) 5932-7683","6/6/1991","812.463.285-50","df2aeced-d2de-4922-be21-6b2d8b5831cb","-1.445591","-48.472191","O+","493","Ágatha O Fernandes","1"
"São Paulo","SP","BR","CamilaCastroAraujo@dayrep.com","(11) 4456-9246","2/8/1951","372.008.736-08","ced78952-36d4-4569-b44d-8590f0823f14","-23.710461","-46.674105","B+","494","Camila C Araujo","1"
"São José do Rio Preto","SP","BR","EmillyDiasCosta@gustr.com","(17) 8259-4177","8/11/1964","311.672.752-09","fd7d10c8-0f9d-47e9-bb81-fefd278ab153","-20.848369","-49.400423","A+","495","Emilly D Costa","1"
"Manaus","AM","BR","MariaOliveiraRodrigues@superrito.com","(92) 5484-4113","10/15/1973","691.409.306-70","143915f4-ff99-4b18-90cf-dcc9c0b5c64c","-2.745193","-60.109768","AB+","496","Maria O Rodrigues","1"
"Mesquita","RJ","BR","CarlosMartinsCosta@fleckens.hu","(21) 4564-8840","10/21/1996","291.696.315-49","60afa459-2b5f-42a4-9b9f-422e3bb164de","-22.77995","-43.486681","A+","497","Carlos M Costa","2"
"Belo Horizonte","MG","BR","BrunaOliveiraSouza@armyspy.com","(31) 6316-3752","5/30/1950","525.223.925-81","9fffb40a-b950-4b1f-bc62-8d2013c7c044","-19.815554","-43.927331","A+","498","Bruna O Souza","1"
"Planaltina","DF","BR","MarisaSouzaPereira@fleckens.hu","(61) 3263-8346","9/4/1971","536.383.445-68","8089999e-2e2a-4e41-ae44-e612156ecc2b","-15.522641","-47.7494","A+","499","Marisa S Pereira","1"
"São Luís","MA","BR","FernandaAlvesCosta@jourrapide.com","(98) 3521-7084","3/28/1989","916.125.263-81","8f5a597d-0079-47a8-af51-53f440948935","-2.590829","-44.256151","B+","500","Fernanda A Costa","1"
"Araucária","PR","BR","NicolasCunhaAraujo@einrot.com","(41) 4344-4939","11/2/1991","923.403.161-03","6ba77cd0-c4ca-43ec-9d4b-6c21770cf55e","-25.687167","-49.369304","A+","501","Nicolas C Araujo","2"
"Marabá","PA","BR","KauaAlvesCunha@rhyta.com","(94) 6846-7458","2/25/1958","103.147.228-23","7302c560-d789-43b4-9582-ce10b1f5ebcb","-5.559749","-50.063372","A+","502","Kauã A Cunha","2"
"São Paulo","SP","BR","GustavoAlmeidaGoncalves@jourrapide.com","(11) 3243-9078","5/24/1957","905.628.914-47","9a3dad56-a398-4eae-b8f3-6ca623e30943","-23.692058","-46.715917","A-","503","Gustavo A Goncalves","2"
"Anápolis","GO","BR","MelissaOliveiraSantos@rhyta.com","(62) 4513-9242","7/24/1951","301.614.822-60","d571175a-5a75-4aac-889a-be195819ead4","-16.37463","-49.057266","B+","504","Melissa O Santos","1"
"Macaé","RJ","BR","RyanPintoCastro@fleckens.hu","(22) 6039-5620","9/16/1939","331.152.185-40","25692948-2c51-4a7d-9603-06640f218c06","-22.311563","-42.071732","A-","505","Ryan P Castro","2"
"Rio de Janeiro","RJ","BR","BrunoCarvalhoCunha@jourrapide.com","(21) 6328-8692","4/21/1950","921.350.063-78","7e955fc0-d71d-45db-94f3-9c7bf0eb74bb","-22.88051","-43.322703","B+","506","Bruno C Cunha","2"
"Campinas","SP","BR","CauaRochaSousa@fleckens.hu","(19) 5549-5147","1/3/1972","420.481.708-46","4d5ec09e-20d9-4dd4-baaf-fe5f82bec620","-22.892321","-46.963445","A+","507","Cauã R Sousa","2"
"Camaragibe","PE","BR","SamuelCarvalhoMelo@superrito.com","(81) 4282-6429","6/3/1994","402.485.588-38","ab8b84ac-c172-4247-be02-cb5065653d46","-7.952142","-34.943679","O+","508","Samuel C Melo","2"
"Belo Horizonte","MG","BR","AmandaSouzaPereira@jourrapide.com","(31) 9171-5800","6/16/1942","148.169.309-30","0a809eb6-917f-4864-84ae-12d58c096687","-19.845141","-43.975529","O+","509","Amanda S Pereira","1"
